Node,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\judini\codegpt,1.0,,,,,,0.0,0.0,0.11328091079057548,1.1879996632822397e-16,0.0,1.1132809107905757
\streamlit,1.0,,,,,,0.0,0.0,1.0,1.840026998673875e-16,0.0,2.0
\src\judini\types,0.6666666666666666,,,,,,0.0,0.0,2.045727584365439e-16,9.722156946025835e-17,0.0,0.666666666666667
\src\judini\utils,0.3333333333333333,,,,,,0.0,0.0,4.5796021415826273e-17,3.5489758633613014e-17,0.0,0.3333333333333334
\examples\chat_completion,0.0,,,,,,0.0,0.0,0.0,9.212058835220436e-17,0.0,9.212058835220436e-17
\streamlit::AGENT_ID,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.9999999999999999,1.0,3.25
\streamlit::enable_stream,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.9999999999999999,1.0,3.25
\streamlit::completion,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.9999999999999999,1.0,3.25
\src\judini\utils::handle_stream,0.0,,,,,,1.0,0.5000000000000002,2.3030147088051094e-17,1.5906244945656631e-16,1.0,2.5000000000000004
\src\judini\utils::handle_non_stream,0.0,,,,,,1.0,0.5000000000000002,2.3030147088051094e-17,1.1624222455894317e-16,1.0,2.5000000000000004
\src\judini\types::DocumentMetadata,0.0,,,,,,1.0,0.3333333333333333,2.3030147088051094e-17,3.387941854230799e-16,1.0,2.333333333333334
\src\judini\types::Agent,0.0,,,,,,1.0,0.3333333333333333,2.3030147088051094e-17,3.286423236426566e-16,1.0,2.3333333333333335
\examples\chat_completion::chat_example,0.0,,,,,,1.0,1.0,2.3030147088051094e-17,0.0,1.0,3.0
\src\judini\types::Document,0.0,,,,,,1.0,0.3333333333333333,2.3030147088051094e-17,3.350957013848478e-16,1.0,2.333333333333334
\src\judini\codegpt::base_url,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.11328091079057555,1.0,2.363280910790576
\src\judini\codegpt::JUDINI_TUTORIAL,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.11328091079057558,1.0,2.363280910790576
\src\judini\codegpt::PLAYGROUND_KEYS_URL,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.1132809107905755,1.0,2.363280910790576
\src\judini\codegpt::CodeGPTPlus,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,0.11328091079057558,1.0,2.363280910790576
\streamlit::CODEGPT_API_KEY,0.0,,,,,,1.0,0.2500000000000003,2.3030147088051094e-17,1.0,1.0,3.25
